seccion_id,NV15yNV17yV21,NV15yNV17yNV21,NV15yV17yV21,NV15yV17yNV21,V15yV17yV21,V15yV17yNV21,V15yNV17yV21,V15yNV17yNV21,NV17yNV21,NV17yV21,V17yNV21,V17yV21,NV21,V21
1,13,4,15,30,203,519,33,35,39,42,549,218,588,260
63,472,249,400,1470,6046,13821,1350,1413,1662,1573,15291,6446,16953,8019
129,218,136,139,456,2679,7357,843,1091,1227,925,7813,2818,9040,3743
11,187,100,106,456,2165,4583,684,630,730,771,5039,2271,5769,3042
100,0,0,1,0,5,12,0,1,1,0,12,6,13,6
119,88,47,55,280,734,2158,203,309,356,244,2438,789,2794,1033
13,12,7,10,40,153,680,34,45,52,39,720,163,772,202
7,249,129,185,645,3612,9314,820,864,993,940,9959,3797,10952,4737
84,89,53,60,292,1259,3453,290,393,446,326,3745,1319,4191,1645
67,12,7,16,41,377,839,106,99,106,111,880,393,986,504
98,18,9,17,39,225,640,46,69,78,55,679,242,757,297
57,7,1,3,12,60,176,25,12,13,31,188,63,201,94
76,43,26,30,152,656,1382,172,205,231,189,1534,686,1765,875
28,41,22,41,107,417,1087,87,96,118,106,1194,458,1312,564
115,2,1,2,7,28,57,3,10,11,4,64,30,75,34
126,9,8,4,18,58,117,14,33,41,15,135,62,176,77
61,883,517,618,2315,9947,24498,3415,3976,4493,3781,26813,10565,31306,14346
27,49,21,67,154,1006,1699,177,148,169,205,1853,1073,2022,1278
91,12,7,7,33,168,581,22,49,56,27,614,175,670,202
93,15,6,10,27,339,745,94,84,90,103,772,349,862,452
50,639,365,497,2055,5978,19917,1535,2030,2395,1809,21972,6475,24367,8284
19,7,4,9,25,161,445,37,46,50,40,470,170,520,210
130,156,77,115,404,2097,5494,662,748,825,741,5898,2212,6723,2953
26,25,12,33,160,270,604,49,65,77,62,764,303,841,365
114,4,3,2,7,14,73,0,12,15,1,80,16,95,17
125,81,45,47,312,1094,2367,321,401,446,357,2679,1141,3125,1498
83,29,16,43,73,539,1220,117,135,151,130,1293,582,1444,712
3,338,204,253,1002,4620,11140,1397,1466,1670,1531,12142,4873,13812,6404
70,352,200,290,1105,5481,14216,1575,1571,1771,1727,15321,5771,17092,7498
123,32,14,42,56,530,849,103,106,120,121,905,572,1025,693
106,267,156,129,765,2348,7898,642,773,929,753,8663,2477,9592,3230
80,245,138,184,1133,2491,6760,574,670,808,681,7893,2675,8701,3356
107,78,47,64,287,1487,3717,422,409,456,453,4004,1551,4460,2004
4,184,105,141,681,2749,6576,626,615,720,705,7257,2890,7977,3595
38,341,201,207,772,3442,8473,1299,1664,1865,1439,9245,3649,11110,5088
132,128,80,73,148,1325,2436,622,674,754,670,2584,1398,3338,2068
92,316,172,199,926,4423,12776,1207,1443,1615,1351,13702,4622,15317,5973
36,196,120,153,689,2766,5729,746,751,871,822,6418,2919,7289,3741
128,56,34,43,207,624,1325,220,211,245,242,1532,667,1777,909
105,131,83,79,281,1302,3053,395,423,506,443,3334,1381,3840,1824
90,45,22,21,113,346,1146,97,175,197,120,1259,367,1456,487
62,205,112,153,602,3247,8388,762,804,916,855,8990,3400,9906,4255
109,63,27,63,93,1097,1438,244,256,283,280,1531,1160,1814,1440
52,235,135,218,849,3597,8126,791,945,1080,891,8975,3815,10055,4706
9,13,8,15,35,356,857,104,107,115,109,892,371,1007,480
35,194,118,104,439,1782,4871,597,699,817,673,5310,1886,6127,2559
111,155,95,137,386,1281,2747,347,414,509,407,3133,1418,3642,1825
113,270,147,206,605,4008,7710,1097,1068,1215,1220,8315,4214,9530,5434
51,105,56,75,115,1336,1757,485,672,728,534,1872,1411,2600,1945
24,17,8,4,30,163,620,58,77,85,67,650,167,735,234
118,15,9,11,35,119,334,24,48,57,30,369,130,426,160
77,296,191,224,915,3461,8625,1083,1277,1468,1188,9540,3685,11008,4873
89,265,146,177,718,3273,7301,1058,1147,1293,1177,8019,3450,9312,4627
12,57,30,67,169,765,1405,179,183,213,206,1574,832,1787,1038
82,117,72,85,457,1020,2932,244,313,385,289,3389,1105,3774,1394
78,36,25,11,78,183,511,79,92,117,90,589,194,706,284
53,222,109,179,470,2778,6775,842,849,958,955,7245,2957,8203,3912
16,64,33,40,133,1009,2279,300,381,414,331,2412,1049,2826,1380
34,62,38,80,354,653,1078,142,113,151,166,1432,733,1583,899
103,8,1,5,18,155,490,41,35,36,48,508,160,544,208
99,13,7,11,42,187,685,55,81,88,61,727,198,815,259
108,51,26,30,89,637,1621,169,195,221,194,1710,667,1931,861
40,8,6,8,43,65,93,17,18,24,19,136,73,160,92
42,8,5,8,66,197,355,43,43,48,46,421,205,469,251
74,44,28,49,126,346,484,74,74,102,90,610,395,712,485
15,11,6,6,27,217,495,43,40,46,48,522,223,568,271
48,4,1,5,18,90,165,23,20,21,26,183,95,204,121
39,30,21,41,207,379,1017,108,111,132,117,1224,420,1356,537
133,94,58,81,322,1187,3103,407,517,575,443,3425,1268,4000,1711
134,143,86,111,467,1644,2944,480,510,596,537,3411,1755,4007,2292
122,180,98,111,429,2208,6893,484,522,620,566,7322,2319,7942,2885
32,8,5,5,12,58,208,17,27,32,20,220,63,252,83
30,23,16,14,69,310,878,80,93,109,87,947,324,1056,411
44,2,1,4,15,88,226,21,20,21,22,241,92,262,114
66,6,5,8,20,116,307,37,31,36,38,327,124,363,162
117,5,2,1,5,21,51,1,5,7,4,56,22,63,26
79,320,198,216,759,3839,8643,1342,1691,1889,1464,9402,4055,11291,5519
121,1,1,1,4,11,28,0,1,2,0,32,12,34,12
71,51,33,42,226,845,2546,204,260,293,222,2772,887,3065,1109
20,5,3,1,16,61,169,29,19,22,31,185,62,207,93
102,11,8,5,24,212,527,56,63,71,59,551,217,622,276
97,18,11,9,47,116,304,35,40,51,42,351,125,402,167
29,21,8,16,52,435,1058,157,146,154,170,1110,451,1264,621
131,10,7,6,18,101,240,26,24,31,29,258,107,289,136
25,17,8,14,55,138,364,53,30,38,62,419,152,457,214
94,6,5,10,25,124,290,33,30,35,34,315,134,350,168
69,2,0,1,7,54,114,13,11,11,15,121,55,132,70
65,5,3,4,17,138,309,17,25,28,19,326,142,354,161
72,9,2,9,19,166,340,29,46,48,36,359,175,407,211
47,15,12,13,36,204,699,62,65,77,65,735,217,812,282
75,45,25,25,74,473,1290,141,200,225,161,1364,498,1589,659
37,25,15,33,40,152,229,46,25,40,56,269,185,309,241
60,48,31,55,332,881,2211,178,244,275,195,2543,936,2818,1131
31,0,0,0,6,15,51,5,5,5,5,57,15,62,20
10,20,13,9,53,239,588,82,74,87,89,641,248,728,337
87,93,67,48,245,814,2925,285,451,518,311,3170,862,3688,1173
101,33,22,27,205,344,833,80,119,141,91,1038,371,1179,462
18,3,2,8,21,139,306,32,29,31,33,327,147,358,180
21,6,2,11,33,225,661,51,57,59,55,694,236,753,291
2,6,5,4,21,47,178,18,17,22,19,199,51,221,70
17,34,26,28,111,367,1037,131,157,183,139,1148,395,1331,534
68,15,11,10,57,105,380,29,28,39,33,437,115,476,148
6,42,22,34,138,654,1974,159,182,204,179,2112,688,2316,867
8,2,1,3,6,21,43,1,5,6,2,49,24,55,26
112,2,2,6,15,83,158,12,15,17,12,173,89,190,101
5,14,8,6,37,159,526,35,62,70,41,563,165,633,206
59,20,14,4,39,82,354,29,29,43,35,393,86,436,121
33,25,11,27,46,352,528,83,39,50,97,574,379,624,476
73,6,3,2,17,64,246,26,15,18,29,263,66,281,95
96,20,14,4,31,163,484,73,62,76,79,515,167,591,246
64,12,6,7,16,120,296,20,22,28,26,312,127,340,153
124,14,9,22,34,288,482,69,67,76,74,516,310,592,384
120,14,8,14,33,78,277,18,34,42,24,310,92,352,116
55,22,16,14,51,256,624,67,88,104,73,675,270,779,343
14,20,12,13,49,353,665,163,101,113,171,714,366,827,537
22,22,13,20,58,318,1003,90,108,121,99,1061,338,1182,437
86,7,5,2,20,36,101,11,10,15,13,121,38,136,51
85,18,9,19,31,222,602,44,54,63,53,633,241,696,294
56,8,6,3,14,67,255,18,26,32,20,269,70,301,90
88,1,0,1,0,7,17,3,0,0,4,17,8,17,12
54,4,2,9,31,129,390,55,36,38,57,421,138,459,195
81,9,5,11,106,122,269,37,25,30,41,375,133,405,174
127,1,0,3,14,36,123,14,17,17,15,137,39,154,54
104,1,0,4,4,12,19,2,4,4,3,23,16,27,19
95,2,2,9,6,19,36,5,4,6,5,42,28,48,33
23,11,6,10,44,58,76,28,13,19,33,120,68,139,101
58,6,5,1,17,77,271,17,29,34,18,288,78,322,96
135,1,0,4,6,31,62,4,5,5,5,68,35,73,40
45,11,5,11,18,196,150,45,25,30,51,168,207,198,258
46,3,1,3,9,28,61,10,19,20,12,70,31,90,43
110,4,3,3,11,75,179,14,20,23,15,190,78,213,93
41,6,3,5,25,138,325,40,25,28,43,350,143,378,186
116,0,0,1,2,12,14,2,2,2,2,16,13,18,15
43,0,0,0,1,7,10,1,1,1,1,11,7,12,8
49,2,1,2,6,14,67,3,4,5,4,73,16,78,20
Total,10247,5889,7639,29671,126779,314708,35932,40742,46631,40290,344379,134418,391010,174708
